OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
4786,2893    2072,1,1,C,Brick/Concr,40,Good,BR,Brick,8,,2009-01-06T00:00:00.000Z,0,U,2008,,2009,1,1149,217,461,2018-09-17T09:53:41.000Z
4787,3379    0011,1,1,C,Brick/Concr,30,Average,BR,Brick,18,,2014-01-24T00:00:00.000Z,750000,U,1963,2014,1991,1,2419,49,16644,2018-09-17T09:53:41.000Z
4788,3379    0013,1,1,C,Brick/Concr,60,Excellent,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1977,1984,1990,1,11076,89,39114,2018-09-17T09:53:41.000Z
4789,3379    0016,1,1,C,Brick/Concr,40,Good,CB,Concrete Block,24,,2011-09-30T00:00:00.000Z,3475000,Q,1963,2012,1960,1,32284,75,55238,2018-09-17T09:53:41.000Z
4790,3379    0017,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,8,1,1996-11-22T00:00:00.000Z,0,U,1926,1983,1962,1,2000,81,10209,2018-09-17T09:53:41.000Z
4791,3379    0816,1,1,C,Brick/Concr,25,Fair +,BV,Brick Veneer,22,,2006-01-09T00:00:00.000Z,0,U,1964,1986,1959,1,28349,74,68797,2018-09-17T09:53:41.000Z
4792,3379    0817,1,1,C,Brick/Concr,40,Good,BV,Brick Veneer,22,,2018-08-10T00:00:00.000Z,0,U,1955,,1963,3,9234,74,27074,2018-09-17T09:53:41.000Z
4793,3379    0820,1,1,0,Default,0,Default,BR,Brick,10,0,2004-04-01T00:00:00.000Z,2250000,Q,1900,2009,1975,1,71562,75,81449,2018-09-17T09:53:41.000Z
4794,3379    0821,1,1,C,Brick/Concr,10,Poor,BV,Brick Veneer,10,1,2017-12-21T00:00:00.000Z,3507510,Q,1926,1975,1940,2,12501,74,116917,2018-09-17T09:53:41.000Z
4795,3379    0821,2,1,S,Metal,10,Poor,MS,Metal Siding,22,1,2017-12-21T00:00:00.000Z,3507510,Q,1963,,1963,2,7552,74,116917,2018-09-17T09:53:41.000Z
4796,3379    0821,3,1,S,Metal,20,Fair,MS,Metal Siding,20,1,2017-12-21T00:00:00.000Z,3507510,Q,1988,,1988,2,10500,74,116917,2018-09-17T09:53:41.000Z
4797,3379    0821,4,1,S,Metal,15,Poor +,MS,Metal Siding,22,1,2017-12-21T00:00:00.000Z,3507510,Q,1926,1975,1956,2,15600,74,116917,2018-09-17T09:53:41.000Z
4798,3379    0823,1,1,C,Brick/Concr,55,Very Good +,BV,Brick Veneer,22,,2016-04-18T00:00:00.000Z,13000000,Q,1962,2010,2010,3,75568,79,82092,2018-09-17T09:53:41.000Z
4799,3379    0824,1,1,C,Brick/Concr,40,Good,BV,Brick Veneer,16,,2008-11-14T00:00:00.000Z,0,U,1967,1986,1995,1,1653,62,23383,2018-09-17T09:53:41.000Z
4800,3381    0812,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900-01-01T00:00:00.000Z,,U,1900,,1970,1,157164,83,297283,2018-09-17T09:53:41.000Z
4801,3383    0002,1,1,C,Brick/Concr,30,Average,BR,Brick,8,20,2001-08-17T00:00:00.000Z,750000,U,1937,,1937,1,19406,21,6160,2018-09-17T09:53:41.000Z
4802,3383    0021,1,1,C,Brick/Concr,30,Average,BR,Brick,8,13,2017-04-20T00:00:00.000Z,1191645,U,1953,,1979,4,12704,21,3044,2018-09-17T09:53:41.000Z
4803,3383    0026,1,1,C,Brick/Concr,50,Very Good,BV,Brick Veneer,14,,1900-01-01T00:00:00.000Z,,U,0,,1982,1,13488,84,59875,2018-09-17T09:53:41.000Z
4804,3389    0132,1,1,0,Default,0,Default,0,Typical,8,,1900-01-01T00:00:00.000Z,,U,2003,,2003,1,1250,83,19688,2018-09-17T09:53:41.000Z
4805,3389    0134,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,,2011-05-10T00:00:00.000Z,0,U,1942,,1959,1,25038,26,10631,2018-09-17T09:53:41.000Z
4806,3389    0820,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,9,12,1900-01-01T00:00:00.000Z,,U,1964,,1959,1,12240,21,5750,2018-09-17T09:53:41.000Z
